generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
142,1044,5629.461,1.2966726,1.0057714,0,1353.7262,1050.0254,0,5.392204
143,1176,5613.045,1.3013701,1.0039885,0,1530.4113,1180.6904,0,4.7729974
144,1169,6023.5723,1.3076267,1.0046489,0,1528.6156,1174.4346,0,5.152756
145,1244,5637.1934,1.3134465,1.0002377,0,1633.9275,1244.2958,0,4.531506
146,1098,6048.175,1.3216867,0.99763966,0,1451.212,1095.4083,0,5.508356
147,1080,5557.945,1.3237753,0.99712086,0,1429.6774,1076.8905,0,5.146245
148,1000,5730.795,1.320985,0.9934987,0,1320.985,993.49866,0,5.730795
149,1059,6529.79,1.3232472,0.98718506,0,1401.3187,1045.429,0,6.165996
150,1194,7091.086,1.3183429,0.9866816,0,1574.1014,1178.0978,0,5.938933
151,1350,7744.0146,1.3255081,0.98469734,0,1789.436,1329.3414,0,5.736307
152,1488,8417.699,1.3274916,0.9839386,0,1975.3075,1464.1006,0,5.657056
153,1664,8845.851,1.328221,0.98442566,0,2210.1597,1638.0844,0,5.316016
154,1729,9306.825,1.3356458,0.98210156,0,2309.3315,1698.0536,0,5.382779
155,1854,10576.862,1.3452953,0.9833217,0,2494.1775,1823.0785,0,5.704888
156,2100,10587.572,1.3441663,0.98358876,0,2822.7493,2065.5364,0,5.0417013
157,1983,10831.497,1.3553033,0.9812611,0,2687.5664,1945.8407,0,5.4621773
158,1995,11703.032,1.3417956,0.98119396,0,2676.882,1957.4819,0,5.8661814
159,2134,12937.003,1.3505571,0.9771009,0,2882.0889,2085.1333,0,6.0623255
160,2395,14188.788,1.3552736,0.97594315,0,3245.8804,2337.3838,0,5.9243374
161,2686,16326.251,1.3660299,0.9713892,0,3669.1563,2609.1514,0,6.0782766
162,3131,17928.877,1.3787973,0.9688064,0,4317.014,3033.3328,0,5.7262464
163,3559,20035.514,1.393674,0.96474373,0,4960.086,3433.523,0,5.6295347
164,4073,22046.5,1.4149945,0.9594895,0,5763.2725,3908.0007,0,5.412841
165,4468,24194.744,1.4257907,0.9547143,0,6370.4326,4265.6636,0,5.4151173
166,4942,25578.242,1.4261472,0.95230633,0,7048.0195,4706.298,0,5.1756864
167,5266,26206.146,1.4384836,0.9488804,0,7575.0547,4996.804,0,4.9764805
168,5266,26904.19,1.4631217,0.9448386,0,7704.7983,4975.52,0,5.109037
169,5429,29432.645,1.4853251,0.9405907,0,8063.83,5106.467,0,5.421375
170,6017,30308.912,1.4969634,0.9402716,0,9007.229,5657.6143,0,5.0372133
171,6145,31616.414,1.5144157,0.9399794,0,9306.085,5776.1733,0,5.1450634
172,6550,33747.313,1.5179417,0.94331706,0,9942.519,6178.7266,0,5.1522613
173,7001,36283.957,1.5450062,0.94714427,0,10816.588,6630.957,0,5.182682
174,7488,38759.145,1.5947177,0.94776714,0,11941.246,7096.8804,0,5.176168
175,8195,43507.914,1.6475966,0.94969255,0,13502.054,7782.7305,0,5.3090806
176,9312,50573.344,1.6835676,0.9503928,0,15677.382,8850.058,0,5.4309864
177,10853,56932.04,1.6792476,0.95389855,0,18224.875,10352.661,0,5.2457423
178,12309,63037.79,1.7067347,0.9535455,0,21008.197,11737.191,0,5.1212764
179,13717,64949.88,1.6503631,0.9630786,0,22638.031,13210.55,0,4.7349916
180,14561,74618.7,1.5754505,0.9740946,0,22940.135,14183.792,0,5.124559
181,16768,82315.31,1.5785904,0.9741249,0,26469.803,16334.127,0,4.9090714
182,18388,91831.42,1.591331,0.96706134,0,29261.395,17782.324,0,4.9940953
183,16335,80309.47,1.5876868,0.9617419,0,25934.863,15710.055,0,4.9164047
184,17896,92358.75,1.6265587,0.9572123,0,29108.895,17130.271,0,5.16086
185,19838,113251.125,1.7322147,0.95095736,0,34363.676,18865.092,0,5.7087975
186,19128,99543.164,1.7776296,0.9451095,0,34002.5,18078.055,0,5.204055
187,21537,122245.33,1.806868,0.9469328,0,38914.516,20394.092,0,5.676061
188,20509,107029.984,1.7937678,0.94421816,0,36788.383,19364.97,0,5.2186837
189,22175,129221.21,1.8389714,0.9463013,0,40779.19,20984.23,0,5.8273377
190,21110,115992.16,1.8230139,0.95087045,0,38483.824,20072.875,0,5.4946547
191,23385,139526.16,1.9087925,0.95442325,0,44637.113,22319.188,0,5.9664807
192,20632,116599.34,1.886366,0.9606692,0,38919.504,19820.527,0,5.6513834
193,22120,140387.69,1.9776067,0.96257514,0,43744.66,21292.162,0,6.3466406
194,26161,177558.63,2.0214772,0.9583633,0,52883.863,25071.742,0,6.78715
