generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
352,25774,93062.23,0.24322091,1.6847163,4.9134583,6268.776,43421.88,126639.48,3.6107018
353,26778,92118,0.24805757,1.6830864,4.903731,6642.486,45069.688,131312.11,3.4400628
354,25820,-inf,0.24903801,1.681744,4.9119577,6430.1616,43422.63,126826.75,-inf
355,24661,89107.76,0.24230759,1.6833992,4.9292383,5975.5474,41514.31,121559.945,3.6133068
356,25404,88129.99,0.23625612,1.6864517,4.9273562,6001.8506,42842.617,125174.56,3.4691384
357,24475,-inf,0.23714879,1.6849324,4.935901,5804.217,41238.72,120806.18,-inf
358,23405,85313.44,0.2372773,1.6836406,4.9520035,5553.475,39405.61,115901.64,3.6450946
359,24155,84273.96,0.22972544,1.688231,4.9465227,5549.018,40779.22,119483.26,3.4888828
360,23307,-inf,0.23116563,1.6864154,4.95355,5387.7773,39305.285,115452.38,-inf
361,22285,81601.58,0.23222889,1.6836611,4.966976,5175.2207,37520.387,110689.06,3.6617267
362,22953,80233.37,0.22043005,1.6886733,4.960789,5059.531,38760.117,113865,3.4955504
363,22091,-inf,0.22170977,1.687216,4.964124,4897.7905,37272.29,109662.47,-inf
364,21165,77615.41,0.22500727,1.6843671,4.9715986,4762.279,35649.63,105223.88,3.6671584
365,21797,76280.63,0.21691081,1.6868457,4.9707036,4728.005,36768.176,108346.42,3.4995933
366,20950,-inf,0.22010498,1.6834353,4.9762454,4611.199,35267.97,104252.34,-inf
367,20004,73655.484,0.22358216,1.6802889,4.9837704,4472.5376,33612.5,99695.34,3.6820378
368,19281,72556.76,0.22758088,1.6764461,4.990575,4387.987,32323.557,96223.27,3.763122
369,20341,71453.95,0.21310511,1.6823798,4.9848466,4334.771,34221.29,101396.766,3.5128043
370,19625,-inf,0.21507773,1.6803414,4.9869385,4220.9004,32976.7,97868.664,-inf
371,18737,68366.31,0.21799198,1.6766142,4.9953566,4084.5156,31414.719,93598,3.6487331
372,19174,67055.37,0.20987575,1.6810957,4.9928675,4024.1577,32233.33,95733.24,3.4972029
373,18375,-inf,0.21186385,1.6780499,5.0005255,3892.998,30834.168,91884.66,-inf
374,17553,64616.313,0.21520817,1.6747314,5.009852,3777.549,29396.56,87937.93,3.681212
375,16890,63592.703,0.21849293,1.6713121,5.0163345,3690.3455,28228.46,84725.89,3.7651098
376,17771,62547.66,0.20774704,1.6729193,5.0176888,3691.8728,29729.45,89169.34,3.5196478
377,17088,-inf,0.2104676,1.668556,5.030824,3596.4705,28512.285,85966.73,-inf
378,16296,60230.08,0.21382266,1.6648461,5.040862,3484.454,27130.332,82145.89,3.696004
379,16749,59276.953,0.20653161,1.6664388,5.043005,3459.198,27911.184,84465.29,3.5391338
380,16120,-inf,0.20763199,1.6643804,5.050879,3347.0276,26829.813,81420.17,-inf
381,15385,56923.83,0.21055049,1.6609371,5.0607977,3239.3193,25553.518,77860.375,3.6999564
382,15779,56072.12,0.20270054,1.6625614,5.0666103,3198.4119,26233.557,79946.05,3.5535915
383,15169,-inf,0.20456505,1.6598437,5.076648,3103.047,25178.168,77007.68,-inf
384,14493,53804.31,0.20927995,1.6564547,5.0881147,3033.0945,24006.998,73742.05,3.7124343
385,14826,52900.94,0.2043725,1.6582271,5.094617,3030.0266,24584.875,75532.79,3.5681195
386,14255,-inf,0.20727485,1.6547015,5.1011887,2954.7031,23587.77,72717.445,-inf
387,13640,50976.395,0.21177338,1.6520646,5.1084185,2888.5889,22534.16,69678.83,3.7372723
388,14037,50020.35,0.20602757,1.6532983,5.1132007,2892.009,23207.348,71774,3.5634646
389,13481,-inf,0.20881476,1.6504163,5.12225,2815.0317,22249.262,69053.055,-inf
390,12869,48156.543,0.21412154,1.6463205,5.132372,2755.53,21186.498,66048.49,3.7420578
391,13211,47059.04,0.2040764,1.6489325,5.1387286,2696.0532,21784.047,67887.74,3.5621102
392,12642,-340282350000000000000000000000000000000,0.20732878,1.6434388,5.151834,2621.0505,20776.354,65129.49,-26916813000000000000000000000000000
393,12057,45396.246,0.21090575,1.6393481,5.165883,2542.8906,19765.621,62285.05,3.765136
394,12373,44479.016,0.20302969,1.6409513,5.1723876,2512.0864,20303.49,63997.95,3.5948448
395,11874,-inf,0.20667,1.6371844,5.181844,2453.9995,19439.928,61529.22,-inf
396,11306,42703.54,0.20939717,1.6348629,5.190058,2367.4443,18483.76,58678.8,3.7770686
397,11522,41812.85,0.2014212,1.6366875,5.194789,2320.7751,18857.914,59854.355,3.6289577
398,11031,-inf,0.20283301,1.6336043,5.2045813,2237.451,18020.29,57411.734,-inf
399,10503,40016.754,0.20653445,1.6297202,5.215838,2169.2312,17116.951,54781.945,3.810031
400,10740,39194.77,0.199452,1.6305593,5.2255383,2142.1145,17512.207,56122.28,3.6494198
401,10269,-inf,0.20179836,1.6268436,5.235789,2072.2673,16706.057,53766.316,-inf
402,9791,37554.008,0.20259972,1.6256114,5.2446833,1983.6538,15916.361,51350.695,3.8355641
403,9978,36628.074,0.19569662,1.6276807,5.2476025,1952.6609,16240.998,52360.58,3.6708834
404,9514,-inf,0.19624224,1.6235918,5.2586856,1867.0487,15446.853,50031.137,-inf
405,8999,34596.582,0.1968327,1.6197854,5.2748885,1771.2975,14576.449,47468.723,3.8444917
406,9120,33667.71,0.19325271,1.6190188,5.283443,1762.4647,14765.451,48185,3.691635
407,8667,-inf,0.19180277,1.6174738,5.291331,1662.3546,14018.6455,45859.965,-inf
408,8160,31616.654,0.1925541,1.6140935,5.3044553,1571.2415,13171.003,43284.355,3.87459
409,8255,30559.354,0.18435982,1.6143322,5.313897,1521.8903,13326.3125,43866.223,3.7019205
410,7773,-340282350000000000000000000000000000000,0.18332855,1.6121649,5.326141,1425.0128,12531.357,41400.094,-43777480000000000000000000000000000
411,7309,28478.17,0.1824597,1.6105461,5.3350663,1333.5979,11771.481,38994,3.8963156
412,7350,27440.129,0.17401996,1.6110193,5.341764,1279.0468,11840.991,39261.965,3.7333508
